,Subject,DF1 d',CC2s d',d' difference
0,CSF,1.15,1.05,0.1
1,LT,2.35,2.05,0.3
2,ZBY,2.1,1.825,0.275
3,DLC,0.525,0.45,0.075
4,GAX,0,0,0
5,HMH,0.675,0.6,0.075
6,LMT,0.6,0.575,0.025
7,PC,0.45,0.425,0.025
8,SZJ,0.95,0.8,0.15
9,WYX,0,0,0
10,ZJ,0.225,0.225,0
