,Subject,DF1 d',CC2s d',d' difference
0,CSF,0.8,1.05,-0.25
1,LT,1.675,2.05,-0.375
2,ZBY,1.5,1.825,-0.325
3,DLC,0.375,0.45,-0.075
4,GAX,0,0,0
5,HMH,0.475,0.6,-0.125
6,LMT,0.4,0.575,-0.175
7,PC,0.325,0.425,-0.1
8,SZJ,0.675,0.8,-0.125
9,WYX,0,0,0
10,ZJ,0.15,0.225,-0.075
