,SubjectName,,Z-Data under Different criteria,,,,,,Accuracy
61,'LMT2',Z(Hit),-1.235440342,-0.146744955,0.97859976,0,0,,51.0%
62,,Z(FA),-1.235440342,-0.17495994,0.98990159,0,0,,
63,'XBJ2',Z(Hit),-2.200410581,-0.146744955,-0.146744955,-0.139710299,2.772921295,,59.0%
64,,Z(FA),-3.196950229,-0.648492181,-0.648492181,-0.639923674,2.539184814,,
,"For example, DLC2 and DLC  represent the first time and the second time of subject DLC respectively .The same for LD2,LMT2 and XBJ2.",,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
